date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:55	6362/6362	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2025%20Jun%202025%2017:24:54%20GMT	https://pandalucia.webflow.io/robots.txt		(from )
19:24:55	31335/31335	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jun%202025%2015:19:15%20GMT	https://pandalucia.webflow.io/	C:/Users/orlan/Desktop/141.1/141/pandalucia.webflow.io/index.html	(from )
19:24:55	311106/311106	---MCZ	200	added ('OK')	text/css	etag:W/%2274d6611d94d1f1eb4e6f453df3a1176f%22	https://cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/css/pandalucia.webflow.shared.74d6611d9.css	C:/Users/orlan/Desktop/141.1/141/cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/css/pandalucia.webflow.shared.74d6611d9.css	(from https://pandalucia.webflow.io/)
19:24:56	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/orlan/Desktop/141.1/141/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://pandalucia.webflow.io/)
19:24:56	2411/2411	---M--	200	added ('OK')	image/png	etag:%220037d033d978199d01adfbe1fbfdb5aa%22	https://cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/685c1247f557343d89208760_egfrdgfsdg.png	C:/Users/orlan/Desktop/141.1/141/cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/685c1247f557343d89208760_egfrdgfsdg.png	(from https://pandalucia.webflow.io/)
19:24:56	75695/75695	---M--	200	added ('OK')	image/png	etag:%225177d9c65b9cf78aabb8282f7294e468%22	https://cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/685c11c698019199ec7c2866_sgfgfds.png	C:/Users/orlan/Desktop/141.1/141/cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/685c11c698019199ec7c2866_sgfgfds.png	(from https://pandalucia.webflow.io/)
19:24:56	26936/26936	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jun%202025%2015:19:40%20GMT	https://pandalucia.webflow.io/contatti	C:/Users/orlan/Desktop/141.1/141/pandalucia.webflow.io/contatti.html	(from https://pandalucia.webflow.io/)
19:24:57	6362/6362	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2025%20Jun%202025%2017:24:57%20GMT	https://pandalucia.webflow.io/chi-siamo	C:/Users/orlan/Desktop/141.1/141/pandalucia.webflow.io/chi-siamo	(from https://pandalucia.webflow.io/)
19:24:57	16813/16813	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jun%202025%2015:23:15%20GMT	https://pandalucia.webflow.io/faq	C:/Users/orlan/Desktop/141.1/141/pandalucia.webflow.io/faq.html	(from https://pandalucia.webflow.io/)
19:24:57	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=685bc4d9e6b5cdcf57dc47e5	C:/Users/orlan/Desktop/141.1/141/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c885df.js	(from https://pandalucia.webflow.io/)
19:24:58	41429/41429	---MCZ	200	added ('OK')	text/javascript	etag:W/%226d1d67fe2715f25c2fd98a9011d8ea67%22	https://cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.schunk.36b8fb49256177c8.js	C:/Users/orlan/Desktop/141.1/141/cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.schunk.36b8fb49256177c8.js	(from https://pandalucia.webflow.io/)
19:24:58	47774/47774	---MCZ	200	added ('OK')	text/javascript	etag:W/%22567380098d745471b612ccf30d2629bb%22	https://cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.schunk.039ed449019d8266.js	C:/Users/orlan/Desktop/141.1/141/cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.schunk.039ed449019d8266.js	(from https://pandalucia.webflow.io/)
19:24:58	90407/90407	---MCZ	200	added ('OK')	text/javascript	etag:W/%22cd5bcf058dd64618b7f00fbdf5927934%22	https://cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.schunk.305ad871ffb550e5.js	C:/Users/orlan/Desktop/141.1/141/cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.schunk.305ad871ffb550e5.js	(from https://pandalucia.webflow.io/)
19:24:59	1851/1851	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e9934c80734b91c58a0bcc5fcd602c93%22	https://cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.66215820.efe9fc08c674760c.js	C:/Users/orlan/Desktop/141.1/141/cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.66215820.efe9fc08c674760c.js	(from https://pandalucia.webflow.io/)
19:24:59	5046/5046	---MCZ	200	added ('OK')	text/javascript	etag:W/%2205600b63843d675b8282dde0de24e5cf%22	https://cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.8b297e87.a67cffd120e504c2.js	C:/Users/orlan/Desktop/141.1/141/cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.8b297e87.a67cffd120e504c2.js	(from https://pandalucia.webflow.io/contatti)
19:25:00	1085/1085	---MCZ	200	added ('OK')	text/javascript	etag:W/%227971d6e982e2e5dd905d41a846ea3ca8%22	https://cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.c9f80112.8f14fdb118ccbbf5.js	C:/Users/orlan/Desktop/141.1/141/cdn.prod.website-files.com/685bc4d9e6b5cdcf57dc47e5/js/webflow.c9f80112.8f14fdb118ccbbf5.js	(from https://pandalucia.webflow.io/faq)
19:25:00	6362/6362	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2025%20Jun%202025%2017:24:59%20GMT	https://pandalucia.webflow.io/chi-siamo	C:/Users/orlan/Desktop/141.1/141/pandalucia.webflow.io/chi-siamo.html	(from https://pandalucia.webflow.io/)
19:25:00	6362/6362	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2025%20Jun%202025%2017:25:00%20GMT	https://pandalucia.webflow.io/chi-siamo	C:/Users/orlan/Desktop/141.1/141/pandalucia.webflow.io/chi-siamo.html	(from https://pandalucia.webflow.io/)
